Employer,CEO,CEOCompensation
CBS Corp,Leslie Moonves,5717.5645
Goldman Sachs,Lloyd C. Blankfein,2216.2912
Linear Technology,Lothar Maier,638.6772
United Technologies,Louis R. Chenevert,2710.7982
Verizon,Lowell C. McAdam,1830.6509
Duke Energy,Lynn J. Good,830.5351
Ingersoll Rand,M. W. Lamach,1941.7506
Pitney Bowes,Marc B. Lautenbach,696.636
Salesforce,Marc Benioff,3133.3332
Thermo Fisher Scientific,Marc N. Casper,1744.6957
Hewlett-Packard,Margaret C. Whitman,1961.2164
Lockheed Martin,Marillyn A. Hewson,3368.7442
Yahoo,Marissa A. Mayer,4208.3508
Flowserve,Mark A. Blinn,766.0592
Citrix Systems,Mark B. Templeton,788.3614
Mallinckrodt Pharmaceuticals,Mark Christopher Trudeau,650.2676
Precision Castparts,Mark Donegan,969.9876
Ford Motor Company,Mark Fields,1859.6497
NIKE,Mark G. Parker,1681.973
Eastman Chemical,Mark J. Costa,785.1406
Aetna,Mark T. Bertolini,1506.7322
Lam Research,Martin B. Anstice,1500.9218
Altria,Martin J. Barrington,1232.099
Invesco,Martin L. Flanagan,1562.2002
Paychex,Martin Mucci,600.6823
Baker Hughes,Martin S. Craighead,1470.983
Frontier Communications,Mary Agnes Wilderotter,915.8907
General Motors,Mary T. Barra,1616.2828
Edwards Lifesciences,Michael A. Mussallem,861.657
Newell Rubbermaid,Michael B. Polk,1235.1559
Teradata,Michael F. Koehler,644.8133
Boston Scientific,Michael F. Mahoney,1052.7884
Interpublic Group,Michael I. Roth,1289.9339
United Rentals,Michael J. Kneeland,840.2819
Tiffany & Co.,Michael J. Kowalski,810.1758
Essex Property Trust,Michael J. Schall,276.4573
CSX,Michael J. Ward,1006.8089
Citi,Michael L. Corbat,1445.7199
Airgas,Michael L. Molinini,430.2807
CA Technologies,Michael P. Gregoire,834.4222
XL Group,Michael S. McGavick,1173.4396
L-3 Communications,Michael T. Strianese,1476.5393
AutoNation,Mike Jackson,1060.6596
Abbott Labs,Miles D. White,1773.2241
Nielsen,Mitch Barns,695.7892
Xilinx,Moshe N. Gavrielov,647.148
Coca-Cola Company,Muhtar Kent,2522.4422
Cummins,N. T. Linebarger,1478.4555
ADT Security Services,Naren K. Gursahaney,546.5388
Cerner,Neal L. Patterson,659.941
CONSOL Energy,Nicholas J. DeIuliis,832.6097
AEP,Nicholas K. Akins,1137.352
Snap-on,Nicholas T. Pinchuk,954.0993
Regions Financial,"O. B. Grayson Hall, Jr.",1442.1247
Medtronic,Omar Ishrak,1211.8846
Schlumberger,Paal Kibsgaard,1851.8374
ADM,Patricia Woertz,1702.2941
Xylem,Patrick K. Decker,822.7869
Brown-Forman,Paul C. Varga,1225.915
E*TRADE Financial,Paul T. Idzik,525.8458
Mead Johnson,Peter Kasper Jakobsen,836.9158
General Dynamics,Phebe N. Novakovic,1938.8084
Viacom,Philippe P. Dauman,4433.4858
TSYS,Phillip W. Tomlinson,544.0198
CME Group,Phupinder S. Gill,536.8575
Accenture,Pierre Nanterme,1592.5463
FMC,Pierre R. Brondeau,511.7145
Anadarko Petroleum,R. A. Walker,2072.0187
Hospital Corporation of America,R. Milton Johnson,1462.5513
ConocoPhillips,R.M. Lance,2757.59
ExxonMobil,R.W. Tillerson,3309.6312
Endo Pharmaceuticals,Rajiv De Silva,2207.1596
Sigma-Aldrich,Rakesh Sachdev,563.0524
PSEG,"Ralph Izzo, Ph.D.",1101.4644
Polo Ralph Lauren,Ralph Lauren,2453.7936
Comerica,"Ralph W. Babb, Jr.",1131.1926
Pentair,Randall J. Hogan,1483.6702
AT&T,Randall L. Stephenson,2398.4315
Moody's,"Raymond W. McDaniel, Jr.",1409.9502
Netflix,Reed Hastings,1106.3926
AbbVie,Richard A. Gonzalez,2200.6271
Hanesbrands,Richard A. Noll,1111.6508
Freeport-McMoRan Copper & Gold,Richard C. Adkerson,1012.3035
Royal Caribbean Cruises,Richard D. Fain,1201.3878
Capital One,Richard D. Fairbank,1960.6474
Equifax,Richard F. Smith,1387.9675
Delta Air Lines,Richard H. Anderson,1758.9867
Pulte Homes,"Richard J. Dugas, Jr.",772.3041
Goodyear,Richard J. Kramer,1785.3097
U.S. Bank,Richard K. Davis,1937.3076
The J. M. Smucker Company,Richard K. Smucker,488.6995
Texas Instruments,Richard K. Templeton,1504.3694
KLA-Tencor,Richard P. Wallace,688.9513
Dollar General,"Richard W. Dreiling,",976.4152
Amgen,Robert A. Bradway,1396.1667
Walt Disney Co.,Robert A. Iger,4649.7018
Lowe's,Robert A. Niblock,1427.9945
Assurant,Robert B. Pollock,1190.3533
NiSource,"Robert C. Skaggs, Jr.",828.2039
Chesapeake Energy,"Robert D. (""Doug"") Lawler",1467.7377
Time Warner Cable,Robert D. Marcus,3461.5597
Ryder System,Robert E. Sanchez,565.4252
PerkinElmer,Robert F. Friel,893.407
M&T Bank,Robert G. Wilmers,422.3419
NASDAQ,Robert Greifeld,1208.3929
AIG,Robert Herman Benmosche,1143.3372
Celgene,Robert J. Hugin,2423.6113
News Corp,Robert J. Thomson,1246.6016
Rockwell Collins,Robert K. Ortberg,582.8786
Baxter,"Robert L. Parkinson, Jr.,",1530.4702
Dun & Bradstreet,Robert P. Carrigan,419.8663
Constellation Brands,Robert Sands,1041.0261
Delphi,Rodney O'Neal,1487.493
Murphy Oil,Roger W. Jenkins,1277.8568
PACCAR,Ronald E. Armstrong,675.7823
Public Storage,"Ronald L. Havner, Jr.",900.92
Staples,Ronald L. Sargent,1239.1537
John Deere,Samuel R. Allen,2027.3296
General Growth Properties,Sandeep Lakhmi Mathrani,489.2039
SanDisk,Sanjay Mehrotra,1149.8963
Microsoft,Satya Nadella,8430.8755
Broadcom,Scott A. McGregor,1645.1411
Textron,Scott C. Donnelly,1359.0693
Cintas,Scott D. Farmer,470.0884
CenterPoint Energy,Scott M. Prochazka,489.7291
Patterson Companies,Scott P. Anderson,257.0509
Air Products,Seifi Ghasemi,1018.9713
Adobe,Shantanu Narayen,1789.0918
Juniper Networks,Shaygan Kheradpir,3016.5992
Henry Schein,Stanley M. Bergman,686.9691
Wynn Resorts,Stephen A. Wynn,2532.2854
Western Digital,Stephen D. Milligan,1129.0562
Huntington National Bank,Stephen D. Steinour,749.8609
Praxair,Stephen F. Angel,1968.7401
Quest Diagnostics,Stephen H. Rusckowski,926.6835
Occidental Petroleum,Stephen I. Chazen,679.2704
UnitedHealth Group,Stephen J. Hemsley,1485.6321
Seagate Technology,Stephen J. Luczo,261.5517
Wyndham Worldwide,Stephen P. Holmes,1411.1891
Equinix,Stephen Smith,1151.3031
Chipotle,Steve Ells,2892.427
